Team Abbr,Team Name,W,L,PCT,GB,Home,Away,RS,RA,DIFF,STRK,L10,POFF
PHI,Philadelphia Phillies,90,60,.600,-,52-26,38-34,727,612,+115,L1,6-4,>99.9%
LAD,Los Angeles Dodgers,89,61,.593,1,48-27,41-34,751,636,+115,W2,5-5,>99.9%
NYY,New York Yankees,87,63,.580,3,42-33,45-30,747,624,+123,W1,7-3,>99.9%
MIL,Milwaukee Brewers,87,63,.580,3,43-29,44-34,732,594,+138,W1,6-4,>99.9%
CLE,Cleveland Guardians,87,64,.576,3.5,46-27,41-37,672,590,+82,W3,6-4,>99.9%
SD,San Diego Padres,86,65,.570,4.5,41-35,45-30,719,632,+87,W4,6-4,99.6%
BAL,Baltimore Orioles,84,66,.560,6,42-33,42-33,727,644,+83,L1,3-7,99.6%
ARI,Arizona Diamondbacks,83,67,.553,7,42-33,41-34,824,730,+94,L1,4-6,83.0%
NYM,New York Mets,82,68,.547,8,41-34,41-34,710,645,+65,W1,6-4,56.5%
KC,Kansas City Royals,82,69,.543,8.5,45-31,37-38,715,613,+102,L2,6-4,95.2%
HOU,Houston Astros,81,69,.540,9,42-32,39-37,691,599,+92,L1,6-4,97.1%
ATL,Atlanta Braves,81,69,.540,9,42-33,39-36,641,573,+68,L2,5-5,60.5%
MIN,Minnesota Twins,81,69,.540,9,42-33,39-36,703,670,+33,L1,3-7,75.8%
DET,Detroit Tigers,79,71,.527,11,42-33,37-38,642,606,+36,W2,7-3,19.1%
SEA,Seattle Mariners,78,73,.517,12.5,39-36,39-37,617,564,+53,W3,7-3,10.4%
CHC,Chicago Cubs,77,73,.513,13,45-30,32-43,692,626,+66,W2,5-5,0.3%
BOS,Boston Red Sox,77,73,.513,13,39-33,38-40,710,706,+4,L1,5-5,2.7%
STL,St. Louis Cardinals,75,75,.500,15,40-35,35-40,611,674,-63,W1,4-6,<0.1%
TB,Tampa Bay Rays,75,75,.500,15,35-40,40-35,625,707,-82,L1,6-4,0.1%
CIN,Cincinnati Reds,73,77,.487,17,37-38,36-39,570,634,-64,L2,4-6,<0.1%
TOR,Toronto Blue Jays,73,78,.483,17.5,36-39,37-39,668,646,+22,L1,5-5,<0.1%
SF,San Francisco Giants,72,78,.480,18,38-37,34-41,635,683,-48,W3,5-5,<0.1%
TEX,Texas Rangers,72,78,.480,18,41-37,30-45,633,662,-29,L4,4-6,<0.1%
PIT,Pittsburgh Pirates,71,79,.473,19,41-34,33-39,623,686,-57,L3,5-5,<0.1%
WSH,Washington Nationals,71,79,.473,19,38-40,30-45,627,684,-63,L1,4-6,<0.1%
OAK,Oakland Athletics,68,82,.453,22,36-39,32-43,625,707,-82,L1,6-4,0.0%
LAA,Los Angeles Angels,65,86,.430,25.5,30-46,29-47,609,711,-102,L3,4-6,0.0%
COL,Colorado Rockies,60,90,.400,30,35-38,23-55,590,728,-138,L6,2-8,0.0%
MIA,Miami Marlins,58,93,.384,32.5,28-47,27-48,633,857,-224,W1,6-4,0.0%
CHW,Chicago White Sox,36,115,.238,54.5,20-58,16-57,470,777,-307,W3,4-6,0.0%
